学校名称,郵便番号,所在地,電話番号,緯度,経度
愛国高等学校,133-8585,江戸川区西小岩５−７−１,03-3658-4111,,
青山学院高等部,150-8366,渋谷区渋谷４−４−２５,03-3409-3880,,
麻布高等学校,106-0046,港区元麻布２−３−２９,03-3446-6541,,
足立学園高等学校,120-0026,足立区千住旭町４０−２４,03-3888-5331,,
跡見学園高等学校,112-8629,文京区大塚１−５−９,03-3941-8161,,
安部学院高等学校,114-0005,北区栄町３５−４,03-3913-2323,,
郁文館高等学校,113-0023,文京区向丘２−１９−１,03-3828-2206,,
郁文館グローバル高等学校,113-0023,文京区向丘２−１９−１,03-3828-2206,,
岩倉高等学校,110-0005,台東区上野７−８−８,03-3841-3086,,
上野学園高等学校,110-8642,台東区東上野４−２４−１２,03-3842-1021,,
穎明館高等学校,193-0944,八王子市館町２６００,0426-64-6000,,
江戸川女子高等学校,133-8552,江戸川区東小岩５−２２−１,03-3659-1241,,
桜蔭高等学校,113-0033,文京区本郷１−５−２５,03-3811-0147,,
桜美林高等学校,194-0294,町田市常盤町３７５８,042-797-2667,,
鴎友学園女子高等学校,156-8551,世田谷区宮坂１−５−３０,03-3420-0136,,
大妻高等学校,102-8357,千代田区三番町１２,03-5275-6057,,
大妻多摩高等学校,206-8540,多摩市唐木田２−７−１,042-372-9113,,
大妻中野高等学校,164-0002,中野区上高田２−３−７,03-3389-7211,,
大原学園高等学校（通信制）,101-0051,千代田区神田神保町２−４２,03-3237-3141,,
大森学園高等学校,143-0015,大田区大森西３−２−１２,03-3762-7336,,
小野学園女子高等学校,140-0015,品川区西大井１−６−１３,03-3774-1151,,
海城高等学校,169-0072,新宿区大久保３−６−１,03-3209-5880,,
開成高等学校,116-0013,荒川区西日暮里４−２−４,03-3822-0741,,
かえつ有明高等学校,135-0062,江東区東雲２−１６−１,03-5564-2111,,
科学技術学園高等学校（定時制）,157-8562,世田谷区成城１−１１−１,03-5494-7721,,
科学技術学園高等学校（通信制）,157-8562,世田谷区成城１−１１−１,03-5494-7711,,
学習院高等科,171-0031,豊島区目白１−５−１,03-3986-0221,,
学習院女子高等科,162-8656,新宿区戸山３−２０−１,03-3203-1901,,
蒲田女子高等学校,144-8544,大田区本羽田１−４−１,03-3742-1511,,
川村高等学校,171-0031,豊島区目白２−２２−３,03-3984-8321,,
神田女学園高等学校,101-0064,千代田区猿楽町２−３−６,03-6383-3751,,
関東国際高等学校,151-0071,渋谷区本町３−２−２,03-3376-2244,,
関東第一高等学校,132-0031,江戸川区松島２−１０−１１,03-3653-1541,,
北豊島高等学校,116-0012,荒川区東尾久６−３４−２４,03-3895-4490,,
北豊島高等学校（通信制）,116-0012,荒川区東尾久６−３４−２４,03-3895-3051,,
吉祥女子高等学校,180-0002,武蔵野市吉祥寺東町４−１２−２０,0422-22-8117,,
共栄学園高等学校,124-0003,葛飾区お花茶屋２−６−１,03-3601-7136,,
暁星高等学校,102-8133,千代田区富士見１−２−５,03-3262-3291,,
共立女子高等学校,101-8433,千代田区一ツ橋２−２−１,03-3237-2704,,
共立女子第二高等学校,193-8666,八王子市元八王子町１−７１０,0426-61-9952,,
錦城高等学校,187-0001,小平市大沼町５−３−７,042-341-0741,,
錦城学園高等学校,101-0054,千代田区神田錦町３−１,03-3291-3211,,
国立音楽大学附属高等学校,186-0005,国立市西２−１２−１９,042-572-4111,,
国本女子高等学校,157-0067,世田谷区喜多見８−１５−３３,03-3416-4722,,
慶應義塾女子高等学校,108-0073,港区三田２−１７−２３,03-5427-1674,,
京華高等学校,112-8612,文京区白山５−６−６,03-3946-4452,,
京華商業高等学校,112-8612,文京区白山５−６−６,03-3946-4491,,
京華女子高等学校,112-8613,文京区白山５−１３−５,03-3946-4434,,
京泉女学園高等学校,156-0055,世田谷区船橋５−８−１,03-3303-2115,,
京北学園白山高等学校,112-0001,文京区白山２−３６−５（仮校舎）,03-3816-6214,,
啓明学園高等学校,196-0002,昭島市拝島町５−１１−１５,042-541-1003,,
光塩女子学院高等科,166-0003,杉並区高円寺南２−３３−２８,03-3315-1911,,
晃華学園高等学校,182-8550,調布市佐須町５−２８−１,0424-82-8952,,
工学院大学附属高等学校,192-8622,八王子市中野町２６４７−２,042-628-4912,,
攻玉社高等学校,141-0031,品川区西五反田５−１４−２,03-3493-0331,,
