愛国中学校,133-8585,江戸川区西小岩５−７−１,03-3658-4111
青山学院中等部,150-8366,渋谷区渋谷４−４−２５,03-3407-7463
麻布中学校,106-0046,港区元麻布２−３−２９,03-3446-6541
足立学園中学校,120-0026,足立区千住旭町４０−２４,03-3888-5331
跡見学園中学校,112-8629,文京区大塚１−５−９,03-3941-8161
郁文館中学校,113-0023,文京区向丘２−１９−１,03-3828-2206
上野学園中学校,110-8642,台東区東上野４−２４−１２,03-3842-1021
穎明館中学校,193-0944,八王子市館町２６００,0426-64-6000
江戸川女子中学校,133-8552,江戸川区東小岩５−２２−１,03-3659-1241
桜蔭中学校,113-0033,文京区本郷１−５−２５,03-3811-0147
桜華女学院中学校,189-0024,東村山市富士見町２−５−１,042-391-4133
桜美林中学校,194-0294,町田市常盤町３７５８,042-797-2668
鴎友学園女子中学校,156-8551,世田谷区宮坂１−５−３０,03-3420-0136
大妻中学校,102-8357,千代田区三番町１２,03-5275-6057
大妻多摩中学校,206-8540,多摩市唐木田２−７−１,042-372-9113
大妻中野中学校,164-0002,中野区上高田２−３−７,03-3389-7211
小野学園女子中学校,140-0015,品川区西大井１−６−１３,03-3774-1151
海城中学校,169-0072,新宿区大久保３−６−１,03-3209-5880
開成中学校,116-0013,荒川区西日暮里４−７−７,03-3822-0741
開智日本橋学園中学校,103-8384,中央区日本橋馬喰町２−７−６,03-3662-2507
かえつ有明中学校,135-0062,江東区東雲２−１６−１,03-5564-2111
学習院中等科,171-0031,豊島区目白１−５−１,03-3986-0221
学習院女子中等科,162-8656,新宿区戸山３−２０−１,03-3203-1901
川村中学校,171-0031,豊島区目白２−２２−３,03-3984-8321
神田女学園中学校,101-0064,千代田区猿楽町２−３−６,03-6383-3751
北豊島中学校,116-8555,荒川区東尾久６−３４−２４,03-3895-4490
吉祥女子中学校,180-0002,武蔵野市吉祥寺東町４−１２−２０,0422-22-8117
共栄学園中学校,124-0003,葛飾区お花茶屋２−６−１,03-3601-7136
暁星中学校,102-8133,千代田区富士見１−２−５,03-3262-3291
共立女子中学校,101-0003,千代田区一ッ橋２−６−１,03-3237-2744
共立女子第二中学校,193-8666,八王子市元八王子町１−７１０,0426-61-9952
国立音楽大学附属中学校,186-0005,国立市西２−１２−１９,042-572-4111
国本女子中学校,157-0067,世田谷区喜多見８−１５−３３,03-3416-4723
慶應義塾中等部,108-0073,港区三田２−１７−１０,03-5427-1677
京華中学校,112-8612,文京区白山５−６−６,03-3946-4451
京華女子中学校,112-8613,文京区白山５−１３−５,03-3946-4434
恵泉女学園中学校,156-0055,世田谷区船橋５−８−１,03-3303-2115
啓明学園中学校,196-0002,昭島市拝島町５−１１−１５,042-541-1003
光塩女子学院中等科,166-0003,杉並区高円寺南２−３３−２８,03-3315-1911
晃華学園中学校,182-8550,調布市佐須町５−２８−１,0424-82-8952
工学院大学附属中学校,192-8622,八王子市中野町２６４７−２,042-628-4912
攻玉社中学校,141-0031,品川区西五反田５−１４−２,03-3493-0331
麹町学園女子中学校,102-0083,千代田区麹町３−８,03-3263-3011
