番号,latitude,longitude,施設名,種別,確保水量（立方メートル）,所在地,詳細画像,情報更新日,備考
1,35.6907358,139.740849,区立東郷元帥記念公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都千代田区三番町18,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/1.jpg,平成27年7月9日,［住所］三番町18
2,35.6749363,139.756512,都立日比谷公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都千代田区日比谷公園1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/2.jpg,平成27年7月9日,［住所］日比谷公園1
3,35.6945844,139.781041,都立一橋高等学校,小規模応急給水槽（100立方メートル槽）,100,東京都千代田区東神田1-12-13,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/3.jpg,平成27年7月9日,［住所］東神田1-12-13
4,35.658526,139.784114,晴海給水所,浄水場・給水所,1300,東京都中央区晴海1-6-3,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/4.jpg,平成27年7月9日,［住所］晴海1-6-3
5,35.6666574,139.775847,区立あかつき公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都中央区築地7-19-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/5.jpg,平成27年7月9日,［住所］築地7-19-1
6,35.686354,139.779313,区立堀留児童公園,小規模応急給水槽（100立方メートル槽）,100,東京都中央区日本橋堀留町1-1-16,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/6.jpg,平成27年7月9日,［住所］日本橋堀留町1-1-16
7,35.6612205,139.745108,芝給水所,浄水場・給水所,26600,東京都港区芝公園3-6-7,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/7.jpg,平成27年7月9日,［住所］芝公園3-6-7
8,35.6634052,139.725107,都立青山公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都港区六本木7-23,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/8.jpg,平成27年7月9日,［住所］六本木7-23
9,35.6345433,139.737854,シティハイツ桂坂 (港区防災活動拠点),小規模応急給水槽（100立方メートル槽）,100,東京都港区高輪2-13-8,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/9.jpg,平成27年7月9日,［住所］高輪2-13-8
10,35.709457,139.822442,区立文花公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都墨田区文花1-27-5,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/10.jpg,平成27年7月9日,［住所］文花1-27-5
